ASIN,Title,MainCategory,Degree,Betweenness,Closeness
A00006879,Product 6879,Clothing,16,0.198720,0.205563
A00003827,Product 3827,Books,14,0.313508,0.204303
A00001566,Product 1566,Clothing,14,0.382830,0.198815
A00007717,Product 7717,Music,13,0.936851,0.198456
A00005295,Product 5295,Electronics,13,0.689760,0.201017
A00003139,Product 3139,Books,13,0.463515,0.202360
A00000009,Product 9,Electronics,13,0.322718,0.201183
A00004192,Product 4192,Electronics,13,0.240049,0.202442
A00005296,Product 5296,Clothing,13,0.510484,0.199203
A00005386,Product 5386,Books,13,0.176027,0.203240
A00007401,Product 7401,Books,13,0.970679,0.201398
A00005570,Product 5570,Books,13,0.640633,0.205563
A00007018,Product 7018,Movies & TV,13,0.729156,0.201240
A00007804,Product 7804,Books,13,0.645229,0.202680
A00005454,Product 5454,Books,13,0.338470,0.200300
A00004352,Product 4352,Electronics,13,0.144469,0.200152
A00009670,Product 9670,Movies & TV,13,0.201060,0.204784
A00007890,Product 7890,Music,13,0.136679,0.198047
A00004885,Product 4885,Books,13,0.047636,0.202511
A00003821,Product 3821,Movies & TV,13,0.122870,0.198086
A00006253,Product 6253,Electronics,13,0.849821,0.195897
A00005336,Product 5336,Music,12,0.493064,0.196521
A00009092,Product 9092,Books,12,0.398852,0.200489
A00003245,Product 3245,Music,12,0.661155,0.196749
A00000193,Product 193,Movies & TV,12,0.468853,0.194882
A00004476,Product 4476,Movies & TV,12,0.745567,0.197133
A00003822,Product 3822,Music,12,0.149877,0.199792
A00004253,Product 4253,Music,12,0.367781,0.196908
A00003872,Product 3872,Movies & TV,12,0.918698,0.199132
A00003223,Product 3223,Movies & TV,12,0.511973,0.200036
A00004070,Product 4070,Electronics,12,0.599709,0.201167
A00008172,Product 8172,Movies & TV,12,0.668813,0.198858
A00000965,Product 965,Movies & TV,12,0.389911,0.201792
A00001372,Product 1372,Books,12,0.330087,0.203381
A00004599,Product 4599,Clothing,12,0.509285,0.201776
A00000772,Product 772,Music,12,0.179983,0.200200
A00001728,Product 1728,Clothing,12,0.929374,0.199832
A00004968,Product 4968,Movies & TV,12,0.423147,0.203025
A00005887,Product 5887,Books,12,0.188953,0.197332
A00008784,Product 8784,Clothing,12,0.323235,0.197207
A00007143,Product 7143,Books,12,0.682099,0.203095
A00009727,Product 9727,Movies & TV,12,0.310587,0.200558
A00009858,Product 9858,Music,12,0.511291,0.199072
A00008433,Product 8433,Books,12,0.659539,0.199732
A00000564,Product 564,Music,12,0.720751,0.198531
A00007149,Product 7149,Music,12,0.392960,0.198440
A00001287,Product 1287,Music,12,0.287906,0.202380
A00004212,Product 4212,Electronics,12,0.872572,0.198511
A00008851,Product 8851,Books,12,0.542612,0.199960
A00005228,Product 5228,Music,12,0.333785,0.202315
A00004811,Product 4811,Music,12,0.605977,0.195217
A00002838,Product 2838,Books,12,0.664253,0.201878
A00004244,Product 4244,Clothing,12,0.475944,0.200868
A00008748,Product 8748,Music,12,0.351322,0.201046
A00000517,Product 517,Music,12,0.727998,0.199557
A00009342,Product 9342,Movies & TV,11,0.430531,0.197867
A00002448,Product 2448,Music,11,0.389955,0.197238
A00008539,Product 8539,Clothing,11,0.641656,0.197036
A00008860,Product 8860,Music,11,0.191779,0.198495
A00009923,Product 9923,Music,11,0.299939,0.199972
A00004799,Product 4799,Music,11,0.320571,0.196070
A00006072,Product 6072,Music,11,0.838673,0.201236
A00000135,Product 135,Electronics,11,0.200280,0.197792
A00008304,Product 8304,Movies & TV,11,0.345642,0.195099
A00008970,Product 8970,Electronics,11,0.591905,0.194076
A00002701,Product 2701,Music,11,0.159624,0.196738
A00005608,Product 5608,Clothing,11,0.851395,0.197005
A00004337,Product 4337,Movies & TV,11,0.850139,0.197734
A00007765,Product 7765,Books,11,0.997336,0.192871
A00002435,Product 2435,Movies & TV,11,0.882115,0.195213
A00004044,Product 4044,Electronics,11,0.735885,0.196765
A00008108,Product 8108,Movies & TV,11,0.299194,0.199144
A00000511,Product 511,Movies & TV,11,0.942700,0.198424
A00002707,Product 2707,Books,11,0.120168,0.197894
A00009167,Product 9167,Music,11,0.936765,0.197558
A00009870,Product 9870,Clothing,11,0.282037,0.199302
A00007630,Product 7630,Clothing,11,0.258209,0.200517
A00002085,Product 2085,Clothing,11,0.804168,0.193603
A00000449,Product 449,Music,11,0.129898,0.198302
A00009655,Product 9655,Books,11,0.613053,0.199884
A00002980,Product 2980,Music,11,0.975870,0.201094
A00006181,Product 6181,Movies & TV,11,0.909998,0.197211
A00005236,Product 5236,Movies & TV,11,0.732342,0.202507
A00002124,Product 2124,Movies & TV,11,0.131841,0.194844
A00002664,Product 2664,Movies & TV,11,0.852746,0.196525
A00001136,Product 1136,Music,11,0.881254,0.195217
A00004210,Product 4210,Clothing,11,0.982286,0.202311
A00009034,Product 9034,Books,11,0.436034,0.196232
A00001336,Product 1336,Electronics,11,0.331807,0.196529
A00005894,Product 5894,Clothing,11,0.348891,0.197922
A00008360,Product 8360,Clothing,11,0.506928,0.196459
A00004384,Product 4384,Music,11,0.952638,0.200985
A00005747,Product 5747,Books,11,0.260074,0.201013
A00006305,Product 6305,Music,11,0.233159,0.200401
A00007626,Product 7626,Music,11,0.682633,0.197196
A00000519,Product 519,Electronics,11,0.376394,0.201130
A00000714,Product 714,Books,11,0.306606,0.198669
A00008160,Product 8160,Clothing,11,0.926042,0.197918
A00007543,Product 7543,Music,11,0.120832,0.199840
A00002999,Product 2999,Movies & TV,11,0.437789,0.199481
A00007643,Product 7643,Electronics,11,0.788486,0.200751
A00004288,Product 4288,Music,11,0.107481,0.201768
A00009505,Product 9505,Music,11,0.682464,0.197137
A00004780,Product 4780,Music,11,0.620232,0.200317
A00000577,Product 577,Books,11,0.154479,0.197312
A00003815,Product 3815,Electronics,11,0.438775,0.197953
A00006324,Product 6324,Electronics,11,0.638800,0.198059
A00001826,Product 1826,Clothing,11,0.457216,0.197083
A00004356,Product 4356,Books,11,0.600210,0.193584
